トピック,役割,ターゲットKW,検索Vol,現在順位,GSCクリック(3M),GSC表示(3M),GSC CTR,見込み増加/月,優先度,施策実施時期,施策タイプ,記事URL,備考（リライト方針エグゼクティブサマリー）
T19: 経費・帳簿・経理実務,クラスター,電子帳簿保存法 個人事業主,3500,未取得,-,-,-,105,中,2026/06/01,新規作成,,"【コンテンツギャップ】freenance.net(DR69)が1位取得。2024年1月義務化済みの電子帳簿保存法について、個人事業主が最低限やるべきことを3ステップで解説。猶予措置の適用条件も。"
T19: 経費・帳簿・経理実務,クラスター,按分とは,17000,未取得,-,-,-,510,中,2026/07/01,新規作成,,"【コンテンツギャップ】Vol 17,000。freenance.net(DR69)が17位。「按分」の意味→ビジネスでの使い方→家事按分との関係を解説。家事按分記事への内部リンク。DR差があるため8位想定で試算。"
T19: 経費・帳簿・経理実務,クラスター,フリーランス 経費,900,未取得,-,-,-,54,低,2026/07/01,新規作成,,"【コンテンツギャップ】freenance.net(DR69)が1位取得。フリーランス特有の経費項目（コワーキング・ツール・交通費・書籍）をリスト化。T19ピラー「個人事業主 経費」とのカニバリ注意。"
T19: 経費・帳簿・経理実務,クラスター,青色申告 帳簿 手書き ノート,450,未取得,-,-,-,14,低,2026/07/01,新規作成,,"【コンテンツギャップ】labol.co.jp(DR56)が7位取得。手書きで帳簿をつける方法→簿記の基本→実際のノート記入例。会計ソフトが苦手な層向け。"
T20: 年金・社会保険,ピラー,年金 いくらもらえる,14000,未取得,-,-,-,840,高,2026/05/01,新規作成,,"【コンテンツギャップ】labol.co.jp(DR56)が1位取得。1記事で「年金いくらもらえる」「専業主婦 年金」「厚生年金 国民年金 違い」の3KWを1位独占中。フリーランス・個人事業主が受け取れる年金額のシミュレーション→厚生年金との差→iDeCo・国民年金基金での上乗せ方法を解説。Paytnerユーザーの老後不安に応える。labolの記事URL: /columns/money/sole-proprietor-pension/"
T20: 年金・社会保険,クラスター,専業主婦 年金,9000,未取得,-,-,-,540,中,2026/06/01,吸収,,"ピラー「年金 いくらもらえる」記事内で専業主婦（第3号被保険者）の年金額セクションとして網羅。labolはこの手法で3KWを1記事でカバーしている。"
T20: 年金・社会保険,クラスター,厚生年金 国民年金 違い,4500,未取得,-,-,-,270,中,2026/06/01,吸収,,"ピラー記事内の比較表セクションで網羅。国民年金のみの個人事業主vsフリーランスが法人化した場合の厚生年金、の比較で差別化。"
T20: 年金・社会保険,クラスター,個人事業主 消費税,9000,38位,-,-,-,270,中,2026/06/01,リライト,https://paytner.co.jp/paytter/freelance/7885/,"【コンテンツギャップ】labol.co.jp(DR56)が1位取得。Paytnerは38位で記事あり。消費税の課税事業者判定フロー→納税額の計算方法→簡易課税vs本則課税→2割特例を体系的にリライト。インボイス制度との関係をT16と内部リンク。"
T21: 個人事業主 基礎知識,ピラー,個人事業主になれない人,4100,未取得,-,-,-,246,中,2026/06/01,新規作成,,"【コンテンツギャップ】labol.co.jp(DR56)が16位取得。「個人事業主になれない条件」（公務員・就業規則・ビザ制限等）を明確に回答→「なれない場合の代替手段」（法人設立・副業届出）を提案。検索意図がクリアなため上位取得しやすい。"
T21: 個人事業主 基礎知識,クラスター,開業届 デメリット,5200,82位,-,-,-,156,中,2026/06/01,リライト,https://paytner.co.jp/paytter/freelance/4494/,"82位→TOP10を狙う。デメリット（失業保険受給不可・扶養から外れる可能性・社会保険料増）を正直に列挙→「それでも開業届を出すべき理由」（青色申告特別控除・経費計上・屋号口座）で締める構成に。"
T21: 個人事業主 基礎知識,クラスター,個人事業主 開業届,23000,76位,-,-,-,690,中,2026/07/01,リライト,https://paytner.co.jp/paytter/freelance/3333/,"【コンテンツギャップ】Vol 23,000で76位。記事は存在するがトップページが拾っている状態。専用記事「開業届の書き方完全ガイド」として作成or既存記事をリライト。記入例画像・提出先・期限・青色申告承認申請書との同時提出を解説。"
T21: 個人事業主 基礎知識,クラスター,屋号,24000,42位,-,-,-,720,中,2026/07/01,リライト,https://paytner.co.jp/paytter/freelance/10283/,"Vol 24,000で42位。屋号のつけ方→使える文字→登記不要→口座開設→名刺・請求書での使い方を解説。Paytner請求書サービスでの屋号設定方法もCTAとして。"
T21: 個人事業主 基礎知識,クラスター,個人事業主 社会保険,7600,23位,-,-,-,228,中,2026/07/01,リライト,https://paytner.co.jp/paytter/freelance/6321/,"23位→TOP10を狙う。国保・年金・労災・雇用保険の加入義務を表形式で整理。会社員からフリーランスへの切替手続きのチェックリスト。T20年金ピラーとの内部リンク。"
T21: 個人事業主 基礎知識,クラスター,廃業届,12000,未取得,-,-,-,360,中,2026/07/01,新規作成,,"【コンテンツギャップ】labol.co.jp(DR56)が2位取得。Vol 12,000。個人事業主の廃業届の書き方→提出期限→必要な関連届出（青色廃止届・消費税関連届出）を解説。開業届のページからの内部リンク。labolの記事URL: /columns/life/what-is-the-process-for-a-sole-proprietorship-to-go-out-of-business/"
T22: 支払い・取引条件,ピラー,支払いサイト,5900,未取得,-,-,-,177,高,2026/05/01,新規作成,,【コンテンツギャップv2】betrading.jp(DR64)が9位取得。取引先との支払い条件の解説記事。ファクタリング需要に直結するトピック。
T22: 支払い・取引条件,クラスター,月末締め翌月末払い,4000,未取得,-,-,-,120,高,2026/05/01,新規作成,,【コンテンツギャップv2】shi-harai.com(DR39)が1位取得。DR39で1位のためPaytner(DR54)で逆転可能。月末締め翌月末払いの仕組み・計算方法を解説。
T22: 支払い・取引条件,クラスター,手形割引とは,800,未取得,-,-,-,24,中,2026/06/01,新規作成,,【コンテンツギャップv2】betrading/shi-harai共に1位。手形割引→ファクタリング比較で優位性訴求。
T23: ビジネスローン・事業融資,ピラー,ビジネスローン,4800,未取得,-,-,-,144,高,2026/05/01,新規作成,,【コンテンツギャップv2】shi-harai.com(DR39)が1位取得。ビジネスローン基礎→比較→ファクタリングとの使い分け。
T23: ビジネスローン・事業融資,クラスター,事業資金 融資,8100,未取得,-,-,-,243,高,2026/05/01,新規作成,,【コンテンツギャップv2】betrading.jp(DR64)が10位取得。Vol 8100の大型KW。事業資金調達方法を比較表で整理。
T23: ビジネスローン・事業融資,クラスター,事業融資,800,未取得,-,-,-,24,中,2026/06/01,新規作成,,【コンテンツギャップv2】betrading.jp(DR64)が1位。事業融資の種類・審査基準を解説。
T23: ビジネスローン・事業融資,クラスター,事業資金 借りやすい,1500,未取得,-,-,-,45,中,2026/06/01,新規作成,,【コンテンツギャップv2】betrading/shi-harai共に1位。審査が通りやすい資金調達方法ランキング。
T23: ビジネスローン・事業融資,クラスター,個人事業主 融資 通りやすい,800,未取得,-,-,-,24,中,2026/06/01,新規作成,,【コンテンツギャップv2】shi-harai.com(DR39)が1位。融資不可時のファクタリング誘導。
T23: ビジネスローン・事業融資,クラスター,運転資金 融資,1700,未取得,-,-,-,51,中,2026/06/01,新規作成,,【コンテンツギャップv2】betrading.jp(DR64)が6位。運転資金融資の方法と審査ポイント。
T24: 黒字倒産・資金ショート,ピラー,黒字倒産,3900,未取得,-,-,-,117,高,2026/05/01,新規作成,,【コンテンツギャップv2】betrading.jp(DR64)が1位/shi-harai.com(DR39)が8位。黒字倒産の原因→予防策→ファクタリング紹介。CVR最寄りトピック。
T24: 黒字倒産・資金ショート,クラスター,資金ショートとは,900,未取得,-,-,-,27,中,2026/06/01,新規作成,,【コンテンツギャップv2】betrading.jp(DR64)が1位。資金ショートの定義→対処法→予防策。T11の資金ショート対策と統合検討。
T24: 黒字倒産・資金ショート,クラスター,デットファイナンス,800,未取得,-,-,-,24,低,2026/07/01,新規作成,,【コンテンツギャップv2】betrading.jp(DR64)が1位。デットファイナンスの基礎知識。
T25: 資金調達 総合,ピラー,資金調達方法,1000,未取得,-,-,-,30,中,2026/06/01,新規作成,,【コンテンツギャップv2】shi-harai.com(DR39)が1位。資金調達方法の全体マップ。各トピックへの内部リンクハブ。
T25: 資金調達 総合,クラスター,資金繰りとは,2400,未取得,-,-,-,72,中,2026/06/01,新規作成,,【コンテンツギャップv2】betrading.jp(DR64)が1位。資金繰りの定義→表の作り方→改善方法。T11との内部リンク。
T25: 資金調達 総合,クラスター,金策とは,800,未取得,-,-,-,24,低,2026/07/01,新規作成,,【コンテンツギャップv2】shi-harai.com(DR39)が3位。金策の意味→合法的な金策方法一覧。
T25: 資金調達 総合,クラスター,不渡手形とは,900,未取得,-,-,-,27,低,2026/07/01,新規作成,,【コンテンツギャップv2】shi-harai.com(DR39)が1位。不渡手形の定義→影響→対処法。
